title,author,added_date,filename,opf_title,opf_creator,opf_language,opf_source,opf_publisher,opf_identifier
クーデレすぎる未来の嫁の面倒な７日間(7),桐刻,2025-06-17, クーデレすぎる未来の嫁の面倒な７日間7 .epub,クーデレすぎる未来の嫁の面倒な７日間(7),桐刻,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B07PJGHJ8X
クーデレすぎる未来の嫁の面倒な７日間(8),桐刻,2025-06-17, クーデレすぎる未来の嫁の面倒な７日間8 .epub,クーデレすぎる未来の嫁の面倒な７日間(8),桐刻,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B07YS3VDHF
クーデレすぎる未来の嫁の面倒な７日間(9),桐刻,2025-06-17, クーデレすぎる未来の嫁の面倒な７日間9 .epub,クーデレすぎる未来の嫁の面倒な７日間(9),桐刻,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B085NBXHTL
クールでエロい生徒会長 ツンドラ先輩の恋人になりました。,箕崎 准,2025-05-19, クールでエロい生徒会長　ツンドラ先輩の恋人になりました .epub,クールでエロい生徒会長 ツンドラ先輩の恋人になりました。,箕崎 准,ja,,フランス書院,B084RQSNKD
コンビニで出会ったエロい女の子と爛れきった関係になりました。(1),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました1 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(1),高橋 徹,ja,,エンターブレイン,B07DNMQ4C5
コンビニで出会ったエロい女の子と爛れきった関係になりました。(2),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました2 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(2),高橋 徹,ja,,エンターブレイン,B07G6ZC3B8
コンビニで出会ったエロい女の子と爛れきった関係になりました。(3),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました3 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(3),高橋 徹,ja,,株式会社ＫＡＤＯＫＡＷＡ,B07L56KZF1
コンビニで出会ったエロい女の子と爛れきった関係になりました。(4),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました4 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(4),高橋 徹,ja,,株式会社ＫＡＤＯＫＡＷＡ,B07NHHZW6Z
コンビニで出会ったエロい女の子と爛れきった関係になりました。(5),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました5 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(5),高橋 徹,ja,,株式会社ＫＡＤＯＫＡＷＡ,B07RW2FP21
コンビニで出会ったエロい女の子と爛れきった関係になりました。(6),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました6 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(6),高橋 徹,ja,,株式会社ＫＡＤＯＫＡＷＡ,B07W4T7SV1
コンビニで出会ったエロい女の子と爛れきった関係になりました。(7),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました7 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(7),高橋 徹,ja,,株式会社ＫＡＤＯＫＡＷＡ,B081985TQM
コンビニで出会ったエロい女の子と爛れきった関係になりました。(8),高橋 徹,2025-07-26, コンビニで出会ったエロい女の子と爛れきった関係になりました8 .epub,コンビニで出会ったエロい女の子と爛れきった関係になりました。(8),高橋 徹,ja,,株式会社ＫＡＤＯＫＡＷＡ,B085Q4ZHNX
サンバカ!!!,助六　稲荷,2025-10-04, サンバカ .epub,サンバカ!!!,助六 稲荷,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:f436b333-d55d-44ea-9418-63224d3a6f9c
サンバカ２!!!【電子特別版】,助六　稲荷,2025-10-04, サンバカ２電子特別版 .epub,サンバカ２!!!【電子特別版】,助六 稲荷,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:d7672c67-b32c-45e2-bd74-7238725d6e37
サンバカ３!!!,助六　稲荷,2026-02-10, サンバカ３ .epub,サンバカ３!!!,助六 稲荷,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:8d67eed9-a122-4b88-88f0-d88e2205e5a3
シン・トモハメ【電子限定特典付き】 (DIVERSE NOVEL),懺悔,2025-08-20, シントモハメ電子限定特典付き DIVERSE NOVEL .epub,シン・トモハメ【電子限定特典付き】 (DIVERSE NOVEL),懺悔,zh-CN,,株式会社メディアソフト,urn:asin:B0BZRD8L58
スズカノ クールな恋人がチャラ男に狙われて,懺悔,2025-08-20, スズカノ　クールな恋人がチャラ男に狙われて .epub,スズカノ クールな恋人がチャラ男に狙われて,懺悔,zh-CN,,フランス書院,urn:uuid:15f9ddab-a85f-0263-fc1e-e046febda10f
スパイ教室 短編集01 花嫁ロワイヤル,竹町,2025-11-24, スパイ教室 短編集01　花嫁ロワイヤル .epub,スパイ教室 短編集01 花嫁ロワイヤル,竹町,ja,,株式会社ＫＡＤＯＫＡＷＡ,B08Y5LT91B
スパイ教室 短編集02 私を愛したスパイ先生,竹町,2025-11-24, スパイ教室 短編集02　私を愛したスパイ先生 .epub,スパイ教室 短編集02 私を愛したスパイ先生,竹町,ja,,株式会社ＫＡＤＯＫＡＷＡ,B09MY3CLNG
スパイ教室12 《万愚節》のエルナ,竹町,2025-11-24, スパイ教室12 万愚節のエルナ .epub,スパイ教室12 《万愚節》のエルナ,竹町,ja,,株式会社ＫＡＤＯＫＡＷＡ,calibre:549
スーパーリッチなお嬢様姉妹が貧困俺に全裸で土下座した逆転のハメ撮り７２時間コンプリートパック (美少女文庫),ＸＰＪｂｏｘ,2025-08-20, スーパーリッチなお嬢様姉妹が貧困俺に全裸で土下座した逆転のハメ撮り７２時間コンプリートパック 美少女文庫 .epub,スーパーリッチなお嬢様姉妹が貧困俺に全裸で土下座した逆転のハメ撮り７２時間コンプリートパック (美少女文庫),ＸＰＪｂｏｘ,zh-CN,,フランス書院,01440479-e818-4fcd-b855-c146ec4a4364
セイクリッドオーダー ～淫肉の杯は今宵も乾く～ (二次元ぷち文庫),神楽陽子,2025-08-05, セイクリッドオーダー ～淫肉の杯は今宵も乾く～ 二次元ぷち文庫 .epub,セイクリッドオーダー ～淫肉の杯は今宵も乾く～ (二次元ぷち文庫),神楽陽子,zh-CN,,株式会社キルタイムコミュニケーション,42b40eb4-ab18-48cd-a606-cdef137b9ac6
セフレから始まるラブコメ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる (フランス書院eブックス),鵠,2025-12-23, セフレから始まるラブコメ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる フランス書院eブックス .epub,セフレから始まるラブコメ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる (フランス書院eブックス),鵠,zh-CN,,フランス書院,B0DP3YG7M6
セフレから始まるラブコメ２ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる,鵠,2025-12-23, セフレから始まるラブコメ２　ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる .epub,セフレから始まるラブコメ２ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる,鵠,zh-CN,,フランス書院,urn:uuid:09eff6f6-8608-0492-b0a2-6c3c6e3af632
セフレから始まるラブコメ３ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる,鵠,2025-12-23, セフレから始まるラブコメ３　ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる .epub,セフレから始まるラブコメ３ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる,鵠,zh-CN,,フランス書院,urn:uuid:31f00fd1-3da4-8a30-5f26-f84ce0053cf1
セフレから始まるラブコメ４ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる,鵠,2025-12-23, セフレから始まるラブコメ４　ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる .epub,セフレから始まるラブコメ４ ヒエラルキー頂点の超美形ギャルがなぜか初対面の俺にデレデレしてくる,鵠,zh-CN,,フランス書院,urn:uuid:38a8a1cf-aa6b-5972-ada9-ea356a6facc4
センセイハメ こちら少子化防止委員会の者ですが～堅物女教師・紗英～,懺悔,2025-12-23, センセイハメ こちら少子化防止委員会の者ですが～堅物女教師紗英～ .epub,センセイハメ こちら少子化防止委員会の者ですが～堅物女教師・紗英～,懺悔,zh-CN,,フランス書院,d5a4533c-e162-493c-9396-9e871feaf3a5
ゼルトリーク戦記 追放された皇子が美女たちを娶り帝国を統一するまで（ノベル） ： 1 【電子書籍限定特典SS付き】 (モンスター文庫),ネコミコズッキーニ,2025-08-20, ゼルトリーク戦記 追放された皇子が美女たちを娶り帝国を統一するまでノベル 1 電子書籍限定特典SS付き モンスター文庫 .epub,ゼルトリーク戦記 追放された皇子が美女たちを娶り帝国を統一するまで（ノベル） ： 1 【電子書籍限定特典SS付き】 (モンスター文庫),ネコミコズッキーニ,zh-CN,,双葉社,mobi-asin:B0CW1FVTHQ
ソシャゲ転生した俺は★１ヒロインを推し続ける。,ナナシまる,2026-03-06, ソシャゲ転生した俺は★１ヒロインを推し続ける .epub,ソシャゲ転生した俺は★１ヒロインを推し続ける。,ナナシまる,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:5eadce6f-df04-419d-8c59-a701e805f0db
ソープ行ったら教え子のお嬢様にご奉仕されました (ぷちぱら文庫Creative),愛内なの,2025-08-05, ソープ行ったら教え子のお嬢様にご奉仕されました ぷちぱら文庫Creative .epub,ソープ行ったら教え子のお嬢様にご奉仕されました (ぷちぱら文庫Creative),愛内なの,zh-CN,,株式会社パラダイム,B09Y2K9NC5
タイツの黒髪同級生・阿津木ダイヤがそのおみ足でグイグイ迫ってくる,みかど鉄狼,2025-07-26, タイツの黒髪同級生阿津木ダイヤがそのおみ足でグイグイ迫ってくる .epub,タイツの黒髪同級生・阿津木ダイヤがそのおみ足でグイグイ迫ってくる,みかど鉄狼,zh-CN,,フランス書院,urn:uuid:770922a6-5a9c-434a-89ed-15cf4ecbf9d6
ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅアスフィ,大森藤ノ,2025-10-17, ダンジョンに出会いを求めるのは間違っているだろうか　ファミリアクロニクル　ｅｐｉｓｏｄｅアスフィ .epub,ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅアスフィ,大森藤ノ,zh-CN,,SBクリエイティブ株式会社,urn:uuid:57f6fd38-c79d-4cff-aaac-603751f05e22
ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅフレイヤ,大森藤ノ,2025-10-17, ダンジョンに出会いを求めるのは間違っているだろうか　ファミリアクロニクル　ｅｐｉｓｏｄｅフレイヤ .epub,ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅフレイヤ,大森藤ノ,zh-CN,,SBクリエイティブ株式会社,urn:uuid:ce2694cb-edef-4c36-813b-4039f5dce439
ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅリュー,大森藤ノ,2025-10-17, ダンジョンに出会いを求めるのは間違っているだろうか　ファミリアクロニクル　ｅｐｉｓｏｄｅリュー .epub,ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅリュー,大森藤ノ,zh-CN,,SBクリエイティブ株式会社,urn:uuid:e61266d6-558e-40e1-a3e8-5bb99fee13d1
ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅリュー２,大森藤ノ,2025-10-17, ダンジョンに出会いを求めるのは間違っているだろうか　ファミリアクロニクル　ｅｐｉｓｏｄｅリュー２ .epub,ダンジョンに出会いを求めるのは間違っているだろうか ファミリアクロニクル ｅｐｉｓｏｄｅリュー２,大森藤ノ,zh-CN,,SBクリエイティブ株式会社,urn:uuid:5eae58a1-ffa7-4486-b255-c750c07aa537
ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソード・オラトリア１５ (GA文庫),大森 藤ノ,2025-05-19, ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソードオラトリア１５ GA文庫 .epub,ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソード・オラトリア１５ (GA文庫),大森 藤ノ,ja,,SBクリエイティブ株式会社,B0DJQKQXLG
ツッコミ待ちの町野さん,にちょぴん,2025-10-25, ツッコミ待ちの町野さん .epub,ツッコミ待ちの町野さん,にちょぴん,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0DTXWMLL5
ツンでＭで失禁で、ちっちゃくて可愛いビンカン彼女をイカせたい,遠野渚,2025-10-17, ツンでＭで失禁でちっちゃくて可愛いビンカン彼女をイカせたい .epub,ツンでＭで失禁で、ちっちゃくて可愛いビンカン彼女をイカせたい,遠野渚,zh-CN,,フランス書院,urn:uuid:ed0843a0-2b97-4909-b7e9-d5985924c4f5
ツンツンお嬢様は僕専用の性処理道具！,上田ながの,2025-07-30, ツンツンお嬢様は僕専用の性処理道具 .epub,ツンツンお嬢様は僕専用の性処理道具！,上田ながの,zh-CN,,株式会社キルタイムコミュニケーション,B00HKDV0B8
ツンデレ女子が幼馴染の鈍感男子に「ざまぁ」されていたので、寝取って教え込んであげた話【フルカラー挿絵付】,タイフーンの目,2025-07-28, ツンデレ女子が幼馴染の鈍感男子にざまぁされていたので寝取って教え込んであげた話フルカラー挿絵付 .epub,ツンデレ女子が幼馴染の鈍感男子に「ざまぁ」されていたので、寝取って教え込んであげた話【フルカラー挿絵付】,タイフーンの目,zh-CN,,フランス書院,urn:uuid:b5653936-09e8-40c1-07a2-c1029c95c450
デートレッスンは若叔母と 年上お姉様と後輩に挟まれて,巨道空二,2025-05-19, デートレッスンは若叔母と　年上お姉様と後輩に挟まれて .epub,デートレッスンは若叔母と 年上お姉様と後輩に挟まれて,巨道空二,ja,,株式会社キルタイムコミュニケーション,B00NGH9J1A
トリック・オア・デリート 不可解01：世界に殺された少女アリシア,ひなちほこ,2025-12-12, トリックオアデリート　不可解01世界に殺された少女アリシア .epub,トリック・オア・デリート 不可解01：世界に殺された少女アリシア,ひなちほこ,zh-CN,,KADOKAWA,book-downloader: 20158083_001
ド屑_3,なきそ,2025-11-30, ド屑_3 .epub,ド屑_3,なきそ,zh-CN,,,
ド田舎に引っ越してきたリーマンが、世話焼き優等生を押し倒して自分専用のメスに調教した話,黄金の黒山羊,2025-05-19, ド田舎に引っ越してきたリーマンが世話焼き優等生を押し倒して自分専用のメスに調教した話 .epub,ド田舎に引っ越してきたリーマンが、世話焼き優等生を押し倒して自分専用のメスに調教した話,黄金の黒山羊,ja,,フランス書院,urn:uuid:c72b32ef-38cb-c93b-2520-053b39066fa2
ドＳな生徒会長が土下座で種付け懇願,鷹羽 シン,2025-08-05, ドＳな生徒会長が土下座で種付け懇願 .epub,ドＳな生徒会長が土下座で種付け懇願,鷹羽 シン,zh-CN,,フランス書院,B084JNQTCX
ネット界最強のAVtuverは俺の義母!? ～一晩で100万円稼ぐドスケベボディを快楽堕ち！～,亜衣まい,2025-12-23, ネット界最強のAVtuverは俺の義母 ～一晩で100万円稼ぐドスケベボディを快楽堕ち～ .epub,ネット界最強のAVtuverは俺の義母!? ～一晩で100万円稼ぐドスケベボディを快楽堕ち！～,亜衣まい,zh-CN,,株式会社パラダイム,calibre:652
ネトゲの嫁は女の子じゃないと思った? Lv.23,聴猫 芝居,2026-02-21, ネトゲの嫁は女の子じゃないと思った Lv23 .epub,ネトゲの嫁は女の子じゃないと思った? Lv.23,聴猫 芝居,ja,,株式会社ＫＡＤＯＫＡＷＡ,B0CP249YRH
ネトゲの嫁は女の子じゃないと思った? Lv.24 DLC(1),聴猫 芝居,2026-02-21, ネトゲの嫁は女の子じゃないと思った Lv24 DLC1 .epub,ネトゲの嫁は女の子じゃないと思った? Lv.24 DLC(1),聴猫 芝居,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,asin:B0GJWJ5XMD
ネトゲの嫁は女の子じゃないと思った？Lv.22,聴猫 芝居,2026-02-21, ネトゲの嫁は女の子じゃないと思ったLv22 .epub,ネトゲの嫁は女の子じゃないと思った？Lv.22,聴猫 芝居,ja,,株式会社ＫＡＤＯＫＡＷＡ,B0CLXRP8XY
ハウリング・ブレイズ 葬焔の剣士と不死の魔女,志瑞祐,2025-09-25, ハウリングブレイズ　葬焔の剣士と不死の魔女 .epub,ハウリング・ブレイズ 葬焔の剣士と不死の魔女,志瑞祐,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:cbdbb53b-f201-4653-837d-559a622067ab
ハツハメ 内定と引き替えに恋人の父に捧げる晴れ着姿,石川檸檬,2025-08-05, ハツハメ 内定と引き替えに恋人の父に捧げる晴れ着姿 .epub,ハツハメ 内定と引き替えに恋人の父に捧げる晴れ着姿,石川檸檬,zh-CN,,フランス書院,calibre:148
ハハハメ 同級生より綺麗なギャルママに生ハメたい,懺悔,2025-12-23, ハハハメ　同級生より綺麗なギャルママに生ハメたい .epub,ハハハメ 同級生より綺麗なギャルママに生ハメたい,懺悔,zh-CN,,フランス書院,urn:uuid:ed0843a0-2b97-4909-b7e9-d5985924c4f5
ハブられルーン使いの異世界冒険譚 (GCN文庫),黄金の黒山羊,2025-05-19, ハブられルーン使いの異世界冒険譚 GCN文庫 .epub,ハブられルーン使いの異世界冒険譚 (GCN文庫),黄金の黒山羊,ja,,株式会社マイクロマガジン社,07022092-6c28-41f0-9ae5-7355dab2e909
ハブられルーン使いの異世界冒険譚 2 (GCN文庫),黄金の黒山羊,2025-05-19, ハブられルーン使いの異世界冒険譚 2 GCN文庫 .epub,ハブられルーン使いの異世界冒険譚 2 (GCN文庫),黄金の黒山羊,ja,,株式会社マイクロマガジン社,2cd47ffc-b2b3-4d10-878e-6144f6bd9ea5
ハメ撮りハーレムはビッチなギャルと！ 《ギャル孕メチャンネル》にて子作りエッチ生配信,孕間せん,2025-08-20, ハメ撮りハーレムはビッチなギャルと ギャル孕メチャンネルにて子作りエッチ生配信 .epub,ハメ撮りハーレムはビッチなギャルと！ 《ギャル孕メチャンネル》にて子作りエッチ生配信,孕間せん,zh-CN,,フランス書院,urn:uuid:b3ea4dce-4b42-b01c-1048-13cdb5d4df37
ハメ撮りハーレムはビッチなギャルと！ 《ギャル孕メチャンネル》全員妊娠！,孕間せん,2025-08-20, ハメ撮りハーレムはビッチなギャルと　ギャル孕メチャンネル全員妊娠 .epub,ハメ撮りハーレムはビッチなギャルと！ 《ギャル孕メチャンネル》全員妊娠！,孕間せん,zh-CN,,フランス書院,urn:uuid:4ddaf3bd-6b49-dce7-7f94-8457f3e7c7a8
ハメ撮りハーレムはビッチなギャルと！ イチャラブ交尾を心がけたら全員孕みたがりのボテ腹彼女に,孕間せん,2025-08-20, ハメ撮りハーレムはビッチなギャルと　イチャラブ交尾を心がけたら全員孕みたがりのボテ腹彼女に .epub,ハメ撮りハーレムはビッチなギャルと！ イチャラブ交尾を心がけたら全員孕みたがりのボテ腹彼女に,孕間せん,zh-CN,,フランス書院,urn:uuid:6c882070-10a8-adb4-87ab-7691b4ada958
ハメ撮りハーレムはビッチなギャルと！ 狂犬ギャル、地雷ギャルも加わり誓いのボテ腹結婚式,孕間せん,2025-08-20, ハメ撮りハーレムはビッチなギャルと　狂犬ギャル地雷ギャルも加わり誓いのボテ腹結婚式 .epub,ハメ撮りハーレムはビッチなギャルと！ 狂犬ギャル、地雷ギャルも加わり誓いのボテ腹結婚式,孕間せん,zh-CN,,フランス書院,urn:uuid:d1d4f4fc-96a3-c504-eb30-f7fd9f0a4ddb
ハメ撮りハーレムはビッチなギャルと！ 竿役に採用されて始まるギャルハメ配信生活,孕間せん,2025-08-20, ハメ撮りハーレムはビッチなギャルと　竿役に採用されて始まるギャルハメ配信生活 .epub,ハメ撮りハーレムはビッチなギャルと！ 竿役に採用されて始まるギャルハメ配信生活,孕間せん,zh-CN,,フランス書院,urn:uuid:85fe8c9d-3cc7-5929-1d33-699f65c01c1d
バケモノのきみに告ぐ、,柳之助,2025-10-17, バケモノのきみに告ぐ .epub,バケモノのきみに告ぐ、,柳之助,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0D2KZF1SV
バケモノのきみに告ぐ、２,柳之助,2025-10-17, バケモノのきみに告ぐ２ .epub,バケモノのきみに告ぐ、２,柳之助,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0DJ25TNGJ
バケモノのきみに告ぐ、３,柳之助,2025-10-17, バケモノのきみに告ぐ３ .epub,バケモノのきみに告ぐ、３,柳之助,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,B0DXZ61PFV
バケモノのきみに告ぐ、４,柳之助,2025-10-17, バケモノのきみに告ぐ４ .epub,バケモノのきみに告ぐ、４,柳之助,zh-CN,,株式会社ＫＡＤＯＫＡＷＡ,urn:uuid:b2568549-c5c4-471a-a579-02d1e418880d
ヒトヅマハメ こちら少子化防止委員会の者ですが～じゃじゃ馬グラマラス・茜～ (フランス書院eブックス),懺悔,2025-08-20, ヒトヅマハメ こちら少子化防止委員会の者ですが～じゃじゃ馬グラマラス茜～ フランス書院eブックス .epub,ヒトヅマハメ こちら少子化防止委員会の者ですが～じゃじゃ馬グラマラス・茜～ (フランス書院eブックス),懺悔,zh-CN,,フランス書院,B09VS112D3
ヒロインが最後に死ぬラブコメ～夢の彼女編～ １,神岡鳥乃,2025-10-31, ヒロインが最後に死ぬラブコメ～夢の彼女編～ １ .epub,ヒロインが最後に死ぬラブコメ～夢の彼女編～ １,神岡鳥乃,zh-CN,,株式会社主婦と生活社,urn:uuid:6ab741f1-54ba-4656-b89b-684a0b33fab9
ビッチのフリをするお嬢さまの処女をおいしくいただきました♪,愛内なの,2025-12-23, ビッチのフリをするお嬢さまの処女をおいしくいただきました♪ .epub,ビッチのフリをするお嬢さまの処女をおいしくいただきました♪,愛内なの,zh-CN,,パラダイム,calibre:66
ブラックギルドを追放された神級魔法使い、奴隷に愛され大逆転！ 〜鍛錬はベッドの上で過激に!?〜,赤川ミカミ,2025-08-05, ブラックギルドを追放された神級魔法使い奴隷に愛され大逆転　鍛錬はベッドの上で過激に .epub,ブラックギルドを追放された神級魔法使い、奴隷に愛され大逆転！ 〜鍛錬はベッドの上で過激に!?〜,赤川ミカミ,zh-CN,,株式会社パラダイム,B094Y3W3DW
ブルーロア・プラネット３ 遺された黄金 上,うつみいっ筆,2025-11-08, ブルーロアプラネット３ 遺された黄金 上 .epub,ブルーロア・プラネット３ 遺された黄金 上,うつみいっ筆,zh-CN,,,calibre:164
プリンセスハートリンク ～剣姫たちの艶舞～ Side オギン★バラ「特別増量版」,神崎美宙,2025-08-05, プリンセスハートリンク　～剣姫たちの艶舞～　Side オギン★バラ特別増量版 .epub,プリンセスハートリンク ～剣姫たちの艶舞～ Side オギン★バラ「特別増量版」,神崎美宙,zh-CN,,株式会社パラダイム,9784801592445
ボッチの僕でも、クズのヤリチンになれるってホントですか？,黄金の黒山羊,2025-05-19, ボッチの僕でもクズのヤリチンになれるってホントですか .epub,ボッチの僕でも、クズのヤリチンになれるってホントですか？,黄金の黒山羊,ja,,フランス書院,calibre:144
ボッチの僕でも、クズのヤリチンになれるってホントですか？ 水泳部の双子姉妹を奪っちゃえ！,黄金の黒山羊,2025-05-19, ボッチの僕でもクズのヤリチンになれるってホントですか 水泳部の双子姉妹を奪っちゃえ .epub,ボッチの僕でも、クズのヤリチンになれるってホントですか？ 水泳部の双子姉妹を奪っちゃえ！,黄金の黒山羊,ja,,フランス書院,calibre:147
ボッチの僕でも、クズのヤリチンになれるってホントですか？ 水泳部双子姉妹を寝取る最高の夏休み！,黄金の黒山羊,2025-05-19, ボッチの僕でもクズのヤリチンになれるってホントですか 水泳部双子姉妹を寝取る最高の夏休み .epub,ボッチの僕でも、クズのヤリチンになれるってホントですか？ 水泳部双子姉妹を寝取る最高の夏休み！,黄金の黒山羊,ja,,フランス書院,calibre:149
ボッチの僕でも、クズのヤリチンになれるってホントですか？ 金髪ハーフ姉妹とテニス部生ハメ合宿！,黄金の黒山羊,2025-05-19, ボッチの僕でもクズのヤリチンになれるってホントですか 金髪ハーフ姉妹とテニス部生ハメ合宿 .epub,ボッチの僕でも、クズのヤリチンになれるってホントですか？ 金髪ハーフ姉妹とテニス部生ハメ合宿！,黄金の黒山羊,ja,,フランス書院,calibre:145
ボッチの僕でも、クズのヤリチンになれるってホントですか？ 先生とラブホ！＆テニス部と乱交！,黄金の黒山羊,2025-05-19, ボッチの僕でもクズのヤリチンになれるってホントですか　先生とラブホテニス部と乱交 .epub,ボッチの僕でも、クズのヤリチンになれるってホントですか？ 先生とラブホ！＆テニス部と乱交！,黄金の黒山羊,ja,,フランス書院,urn:uuid:e579f633-035f-8eca-69d7-657616797352
ボッチの僕でも、クズのヤリチンになれるってホントですか？ 可愛すぎる陸上部女子を寝取りエッチ！,黄金の黒山羊,2025-05-19, ボッチの僕でもクズのヤリチンになれるってホントですか　可愛すぎる陸上部女子を寝取りエッチ .epub,ボッチの僕でも、クズのヤリチンになれるってホントですか？ 可愛すぎる陸上部女子を寝取りエッチ！,黄金の黒山羊,ja,,フランス書院,urn:uuid:d5533d1f-654d-ffbd-acf7-1a746f428ae5
マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる10【電子特別版】,入栖,2025-05-19, マジカル★エクスプローラー　エロゲの友人キャラに転生したけどゲーム知識使って自由に生きる10電子特別版 .epub,マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる10【電子特別版】,入栖,ja,,株式会社ＫＡＤＯＫＡＷＡ,04114699A16591800000
マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる11【電子特別版】,入栖,2025-05-19, マジカル★エクスプローラー　エロゲの友人キャラに転生したけどゲーム知識使って自由に生きる11電子特別版 .epub,マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる11【電子特別版】,入栖,ja,,株式会社ＫＡＤＯＫＡＷＡ,04115318A18996700000
マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる7,入栖,2025-05-19, マジカル★エクスプローラー　エロゲの友人キャラに転生したけどゲーム知識使って自由に生きる7 .epub,マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる7,入栖,ja,,株式会社ＫＡＤＯＫＡＷＡ,B0BB1HKHSG
マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる8,入栖,2025-05-19, マジカル★エクスプローラー　エロゲの友人キャラに転生したけどゲーム知識使って自由に生きる8 .epub,マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる8,入栖,ja,,株式会社ＫＡＤＯＫＡＷＡ,04112668A11882300000
マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる9,入栖,2025-05-19, マジカル★エクスプローラー　エロゲの友人キャラに転生したけどゲーム知識使って自由に生きる9 .epub,マジカル★エクスプローラー エロゲの友人キャラに転生したけど、ゲーム知識使って自由に生きる9,入栖,ja,,株式会社ＫＡＤＯＫＡＷＡ,04114181A15225800000
ママ×カノ ～教え子のお母さんがエッチな先生で、娘の世話を焼いたら駄目ですか？～「特別増量版」,志方孝志,2025-05-27, ママ×カノ　～教え子のお母さんがエッチな先生で娘の世話を焼いたら駄目ですか～特別増量版 .epub,ママ×カノ ～教え子のお母さんがエッチな先生で、娘の世話を焼いたら駄目ですか？～「特別増量版」,志方孝志,ja,,株式会社パラダイム,9784801593725
